ID,taskType_ID,sequence,name,description,functionType_code,autoRun,executeCondition,model_ID,outputContextPath,contextType_code,isRAGEnabled,ragClass,ragSource,ragParameter,ragTopK,ragThreshold,ragOutputContextPath,implementationClass,subTaskType_ID
122ac9f4-6955-4c3b-8e14-d129b86d641a,3d337d50-7548-4a74-bc2c-9681870be5c7,5,GenerateCDSI,GenerateCDSI,A,FALSE,,9789e6f9-c9b9-4c08-bba6-1e28af4af69d,SubContext:CDSIcode,code,FALSE,,,,,,,,
d9a863a2-3f5f-4d64-b335-a22626ef3e3c,3d337d50-7548-4a74-bc2c-9681870be5c7,6, GenerateCDSC,GenerateCDSC,A,FALSE,,9789e6f9-c9b9-4c08-bba6-1e28af4af69d,SubContext:CDSCcode,code,FALSE,,,,,,,,
0c92b066-80d5-47fe-9a1b-a54eec76d53e,3d337d50-7548-4a74-bc2c-9681870be5c7,4,SplitSubTaskTable,Split requirement as single table,F,FALSE,,9789e6f9-c9b9-4c08-bba6-1e28af4af69d,SubContext:subtasktable,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateTasksBotExecution,e8faa75e-c837-4f36-9193-6f577a88ddc8
9f00535f-bb6d-4411-8a08-46a25099fdd9,3d337d50-7548-4a74-bc2c-9681870be5c7,3,GetTableDesign,GetTableDesign,A,FALSE,,9789e6f9-c9b9-4c08-bba6-1e28af4af69d,SubContext:tableDesgin,markdown,FALSE,,,,,,,,
6282ab89-24da-47e9-ad63-a1827333e34e,3d337d50-7548-4a74-bc2c-9681870be5c7,1,GetRequirement,GetRequirement,A,FALSE,,9789e6f9-c9b9-4c08-bba6-1e28af4af69d,SubContext:requirement,markdown,FALSE,customer.ai2code.service.impl.rag.RAGCDSViewExtractorImpl,,,1,0.65,SubContext:ragViewList,,
3855b595-4975-4b2e-894c-b71519593114,3d337d50-7548-4a74-bc2c-9681870be5c7,2,GetRagData,Get RAG Data,F,FALSE,,9789e6f9-c9b9-4c08-bba6-1e28af4af69d,SubContext:ragViewList,,TRUE,customer.ai2code.service.impl.rag.RAGCDSViewExtractorImpl,,,10,0.65,SubContext:ragViewList,customer.ai2code.service.impl.execution.ExtractViewDetailExecution,
24d605f4-a129-4781-9171-eddeb5fb2aed,3d337d50-7548-4a74-bc2c-9681870be5c7,9,GenerateClass,generate_class,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:Class,json,FALSE,,,,,,,,
73355615-8ce4-4d33-b975-ed4dfa0caf5a,3d337d50-7548-4a74-bc2c-9681870be5c7,7,GenerateBehaviorI,Generate_Behavior_I,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:BehaviourInterface,json,FALSE,,,,,,,,
f59942e9-b098-4d5a-afe8-c7522a2db1c0,3d337d50-7548-4a74-bc2c-9681870be5c7,8,GenerateBehaviorC,Generate_Behavior_C,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:BehaviourConsumption,json,FALSE,,,,,,,,
e69ed86a-a4a9-bd21-2c8c-927cc28cb731,b492d44d-932c-1acc-7dc8-26bdde4329c2,2,SplitSubTask,Split requirement as single level,F,,,5e256932-15b9-4145-ba49-966216ea9cf6,SubContext:subtask,JSON,,,,,,,,customer.ai2code.service.impl.execution.CreateTasksBotExecution,b105869c-26ef-8ec6-584c-e71578454418
ed04d474-7963-4943-8ff4-f0bae47ef505,b492d44d-932c-1acc-7dc8-26bdde4329c2,4,SplitCDSandUpdateContext,Split CDS code and update context,F,FALSE,,5e256932-15b9-4145-ba49-966216ea9cf6,,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.SplitCDSandUpdateContextExecution,
8399a613-eb2f-e307-d930-920c0a5f8175,b492d44d-932c-1acc-7dc8-26bdde4329c2,1,ChatGetRequirement,Get Requirement,A,,,5e256932-15b9-4145-ba49-966216ea9cf6,SubContext:requirement,code,FALSE,,,,,,,,
c2805174-bf64-ccc0-2191-7b6435a11ce0,b492d44d-932c-1acc-7dc8-26bdde4329c2,5,ActivateCDS,Activate CDS,F,,,5e256932-15b9-4145-ba49-966216ea9cf6,SubContext:DDLSResult,JSON,,,,,,,,customer.ai2code.service.impl.execution.CreateCdsOdataBotExecution,
635d82d3-82b7-4733-560e-f8c7633838ce,b492d44d-932c-1acc-7dc8-26bdde4329c2,3,AddRelationship,Add relationship for each CDS,A,,,5e256932-15b9-4145-ba49-966216ea9cf6,SubContext:allCds,MARKDOWN,FALSE,,, ,,,,,
d30b57d0-31eb-415c-b248-f3296cf5eb8d,cf216b89-076c-44fe-9ce3-de0a96dd3cc7,2,Call OData to active Class,Call OData to active Class,F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:clasResult,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateGenclasseoOdataBotExecution,
432fa2c9-d196-4d1f-af17-df5e65535427,cf216b89-076c-44fe-9ce3-de0a96dd3cc7,1,Generate Class Code,Generate Class Code,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:clasCode,markdown,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateGenclasseoOdataBotExecution,
c3fee12f-de12-4661-89e0-30fbdffac699,be33665d-32fe-4f13-a038-2f9df0694422,1,Get project info,"Get project ID, package, transport number",A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,projectInfo,markdown,FALSE,,,,,,,,
b7ed2722-de73-41a7-bda2-1c92f99ea9f4,be33665d-32fe-4f13-a038-2f9df0694422,2,Get requirement,Get user requirement details,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,requirementAll,markdown,FALSE,,,,,,,,
3cef1a47-563d-4cbf-8c46-6640ec0cf937,be33665d-32fe-4f13-a038-2f9df0694422,5,Generate CDS design,Generate CDS design,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,ddlsDesign,markdown,FALSE,,,,,,,,
f9c82b4d-147d-4476-8f68-7386b6faa9e0,be33665d-32fe-4f13-a038-2f9df0694422,6,Generate CDS Code,Generate All CDS Code,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,ddlsCode,code,FALSE,,,,,,,,
6a1ffc7c-0902-4315-b2aa-bd2b486193d5,be33665d-32fe-4f13-a038-2f9df0694422,7,Call Odata service to active CDS,Call Odata service to active CDS,F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,ddlsResult,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateCdsOdataBotExecution,
7d453169-cb8a-43f5-8b6d-70874a4392e1,be33665d-32fe-4f13-a038-2f9df0694422,4,Determine about db table,Determine about db table,F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,subtask4tabl,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateTasksBotExecution,6a0c309b-8bde-4dd4-8386-4ae384accb9c
49df4459-2a08-4dee-ada7-cb34336122df,be33665d-32fe-4f13-a038-2f9df0694422,8,Determine about Behavior,Determine about Behavior,F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,subtask4bdef,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateTasksBotExecution,d4d92a4c-b0b4-465d-a0c7-90d4347ccee2
f962aa21-6944-4c54-be75-34e64a3e1efd,be33665d-32fe-4f13-a038-2f9df0694422,9,Determine about Class,Determine about implementation Class,F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,subtask4clas,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateTasksBotExecution,cf216b89-076c-44fe-9ce3-de0a96dd3cc7
4553c0af-d6dd-4dfe-8a61-f2d344bfd847,be33665d-32fe-4f13-a038-2f9df0694422,10,Call Odata to active service,Call Odata to active service,F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,srvd&srvbResult,code,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateServiceDefinitionBotExecution,
5d1356c5-7239-439c-a33a-68781ea498ba,be33665d-32fe-4f13-a038-2f9df0694422,3,Get RAG knowledge,Get RAG knowledge according to requirement,F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,ragViewList,,TRUE,customer.ai2code.service.impl.rag.RAGCDSViewExtractorImpl,,{{SubContext:requirementAll}},10,0.65,,customer.ai2code.service.impl.execution.ExtractViewDetailExecution,
c60eab59-8b63-4218-a9e1-8cd82637c53f,d4d92a4c-b0b4-465d-a0c7-90d4347ccee2,1,Generate Behavior design,Generate Behavior design,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:bdefDesign,markdown,FALSE,,,,,,,,
ff2ac515-e138-48c5-9c3f-da3be9e714de,d4d92a4c-b0b4-465d-a0c7-90d4347ccee2,2,Convert Behavior design(test),Convert Behavior design(test),A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:JSONBdefDesign,markdown,FALSE,,,,,,,,
57ec215a-bc07-4191-9c68-21a6e9029db0,d4d92a4c-b0b4-465d-a0c7-90d4347ccee2,3,Call Odata to active Behavior (interface),Call Odata to active Behavior (interface),F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:bdefInterfaceResult,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateGenBdefOdataBotExecution,
5560f27f-77a2-43be-b6d0-153f13944210,d4d92a4c-b0b4-465d-a0c7-90d4347ccee2,4,Call Odata to active Behavior (consumption),Call Odata to active Behavior (consumption),F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:bdefConsumptionResult,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateGenBdefOdataBotExecution,
a2d7adfc-6196-4290-8824-b6168ebfa979,43a886dc-32d1-48b2-9bbf-c6c76d4c0954,1,Generate Class Code,Generate Class Code,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:clasCode,markdown,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateGenclasseoOdataBotExecution ,
ae1a32a0-fcfc-48e2-b148-9f2561b909a5,43a886dc-32d1-48b2-9bbf-c6c76d4c0954,2,Call OData to active Class,Call OData to active Class,F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:clasResult,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateGenclasseoOdataBotExecution,
fde7b387-4d37-417f-a51b-1c40ab699cf4,6a0c309b-8bde-4dd4-8386-4ae384accb9c,1,Generate table design,Generate table design,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:tablDesign,markdown,FALSE,,,,,,,,
7c92aeb0-b669-4ce2-aa85-890c18ddd374,6a0c309b-8bde-4dd4-8386-4ae384accb9c,3,Call Odata to active table,Call Odata to active table,F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:tableResult,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateGenTableOdataBotExecution,
08a51d6a-2b62-461e-82ce-d48a93c25a5f,6a0c309b-8bde-4dd4-8386-4ae384accb9c,2,Convert Design to JSON,Convert the table into JSON format,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:tablDesignJSON,json,FALSE,,,,,,,,
cc3dfb55-e5ee-43b9-95d5-a0461eef48f5,768cadd6-a533-433a-a60d-057efac5ec5c,1,Generate Behavior design,Generate Behavior design,A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:bdefDesign,markdown,FALSE,,,,,,,,
36aca30d-d94a-4163-92c4-0e652acfc3d9,768cadd6-a533-433a-a60d-057efac5ec5c,2,Convert Behavior design(test),Convert Behavior design(test),A,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:JSONBdefDesign,markdown,FALSE,,,,,,,,
de62fc8e-6578-44cc-8a15-22e6fbf1dd4e,768cadd6-a533-433a-a60d-057efac5ec5c,3,Call Odata to active Behavior (interface),Call Odata to active Behavior (interface),F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:bdefInterfaceResult,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateGenBdefOdataBotExecution,
660fd56c-d654-4427-8830-3a4f4c8d306f,768cadd6-a533-433a-a60d-057efac5ec5c,4,Call Odata to active Behavior (consumption),Call Odata to active Behavior (consumption),F,FALSE,,2e421e12-b543-4cb4-866d-9dece4c570f2,SubContext:bdefConsumptionResult,json,FALSE,,,,,,,customer.ai2code.service.impl.execution.CreateGenBdefOdataBotExecution,
